类型代码,面对象分类,线对象分类,点对象分类
160309,,,3011
160310,,,3011
160311,,,3011
160312,,,3011
160314,,,3011
160315,,,3011
160316,,,3011
160317,,,3011
160318,,,3011
160319,,,3011
160320,,,3011
160321,,,3011
160322,,,3011
160323,,,3011
160324,,,3011
160325,,,3011
160326,,,3011
160327,,,3011
160328,,,3011
160329,,,3011
160330,,,3011
160331,,,3011
160332,,,3011
160333,,,3011
160334,,,3011
160335,,,3011
160336,,,3011
160337,,,3011
160338,,,3011
160339,,,3011
160340,,,3011
160341,,,3011
160342,,,3011
160343,,,3011
160344,,,3011
160345,,,3011
160346,,,3011
160347,,,3011
160348,,,3011
160349,,,3011
160400,1004,,3017
160401,1004,,3017
160402,1004,,3017
160403,1004,,3017
160404,1004,,3017
160405,1004,,3017
160406,1004,,3017
160407,1004,,3017
160408,1004,,3017
160500,1004,,3017
160501,1004,,3017
160600,1004,,3017
170000,1004,,3017
170100,1004,,3017
170200,1004,,3017
170201,1004,,3017
170202,1004,,3017
170203,1004,,3017
170204,1004,,3017
170205,1004,,3017
170206,1004,,3017
170207,1004,,3017
170208,1004,,3017
170209,1004,,3017
170300,1004,,3017
170400,1004,,3017
170401,1004,,3017
170402,1004,,3017
170403,1004,,3017
170404,1004,,3017
170405,1004,,3017
170406,1004,,3017
170407,1004,,3017
170408,1004,,3017
200100,1004,,3017
200200,,,3014
200300,,,3013
200301,,,3013
200302,,,3013
200303,,,3013
200304,,,3013
200400,1004,,3017
000100,1007,
000200,1006,
000300,1004,
000400,1004,
000500,1006,
000600,1004,
000700,1006,
000800,1006,
000900,1004,
000901,1005,
001101,1006,
001102,1006,
980401,,,3016
980404,,,3017
980405,1004,,3017
980406,1004,,3017
980407,1004,,3017
980408,,,3017
980409,1004,,3017
980410,1004,,3017
980411,,,3017
980412,1004,,3017
980414,,,3015
980416,,,3017
980417,1004,,3017
980418,,,3017
980419,,,3017
980420,,,3017
980421,,,3015
980422,1004,,3015
980423,,,3017
980424,1004,,3017
980425,1004,,3017
980426,1004,,3017
980427,1004,,3015
980428,1004,,3017
980429,,,3017
980430,,,3017
980432,1004,,3017
980433,,,3017
980434,,,3017
980435,,,3017
980437,,,3017
980438,1004,,3017
980439,1004,,3017
980440,,,3017
980441,,,3017
980442,,,3017
980443,1004,,3017
980444,,,3017
980445,,,3017
980446,,,3017
980447,1006,,3017
980448,,,3017
980449,,,3017
980450,,,3017
980451,,,3017
980452,,,3015
980453,1004,,3015
980454,1004,,3015
980455,,,3015
980456,,,3015
980457,,,3017
980458,,,3017
980459,,,3017
980501,1004,,3017
980502,1004,,3017
980503,,,3017
980504,1004,,3017
980505,,,3017
980507,,,3017
980601,1004,,3017
980602,1004,,3017
980603,1004,,3017
980604,1004,,3017
980605,1004,,3017
980701,1004,,3017
980702,1004,,3017
980901,1004,,3017
980902,1004,,3017
981001,1004,,3017
981002,1004,,3017
981003,1004,,3017
981004,,,3017
981005,1004,,3017
981101,1004,,3017
981102,1004,,3017
981103,1004,,3017
981104,,,3017
981105,1004,,3017
981106,1004,,3017
981107,1004,,3017
981108,1004,,3017
981109,1004,,3017
981110,1004,,3017
981111,1004,,3017
981112,1004,,3017
981113,1004,,3017
981114,1004,,3017
981115,1004,,3017
981116,1004,,3017
981117,1004,,3017
